921716	Grande Passe de l’Ouest	Grande Passe de l'Ouest	Grande Passe Ouest,Grande Passe de l'Ouest,Grande Passe de l’Ouest,Great Western Pass,Passe de L'Ouest,Passe de L’ Ouest	-12.79387	44.96546	H	CHN	YT		00				0		-9999	Indian/Mayotte	2014-12-03
921720	Mont Ouchongui	Mont Ouchongui	Mont Ouchongui,Ouchongui,Pic Ouchongui,Uchongui,Uchongui Peak	-12.95	45.15	T	MT	YT		00				0		148	Indian/Mayotte	2012-01-11
921723	Roche Oreste	Roche Oreste	Oreste Rock,Orestes Rock,Roche Oreste	-12.78263	45.25127	T	RK	YT		00				0		-9999	Indian/Mayotte	2014-01-10
921724	Ongoujou	Ongoujou	Angouzou,Ongoujou	-12.85	45.16667	P	PPL	YT		00				0		85	Indian/Mayotte	2012-01-11
921732	Grand Récif du Nord-Est	Grand Recif du Nord-Est	Grand Recif du Nord-Est,Grand Récif du Nord-Est,Great North East Reef	-12.7	45.23333	H	RF	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921733	Anse Nord Bambo	Anse Nord Bambo	Anse Nord Bambo,North Bambo Bay	-12.91667	45.18333	H	BAY	YT		00				0		35	Indian/Mayotte	2012-01-11
921734	Récif du Nord	Recif du Nord	North Reef,Recif Nord,Recif du Nord,Récif Nord,Récif du Nord	-12.6	45.1	H	RF	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921735	Pointe Nord	Pointe Nord	North Point,Pointe Nord	-12.75919	45.28461	T	PT	YT		00				0		13	Indian/Mayotte	2014-01-05
921748	M’Zioizie	M'Zioizie		-12.93333	45.13333	P	PPL	YT		00				0		-9999	Indian/Mayotte	2014-12-03
921749	Pointe M’Zamboro	Pointe M'Zamboro	Mount Zamburu Point,Pointe M'Zamboro,Pointe M'Zambourou,Pointe M’Zamboro,Pointe M’Zambourou	-12.68333	45.06667	T	PT	YT		00				0		-9999	Indian/Mayotte	2014-12-03
921750	Passe de M’Zamboro	Passe de M'Zamboro	Duamuni Pass,Passe M'Zamboro,Passe M'Zambourou,Passe M'Zamburu,Passe M’Zamboro,Passe M’Zambourou,Passe M’Zamburu,Passe de M'Zamboro,Passe de M’Zamboro,Zamburu Pass	-12.6	45.13333	H	CHN	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921751	Chissioi M’Zamboro	Chissioi M'Zamboro	Chissioi M'Zamboro,Chissioi M’Zamboro,Ile M'Zambaurou,Ile M'Zamboro,Ile M'Zambourou,Ile M’Zambaurou,M'Zamborou,M’Zamborou,Zamburu Island,Île M’Zamboro,Île M’Zambourou	-12.65	45.03333	T	ISL	YT		00				0		96	Indian/Mayotte	2012-01-11
921759	M’Sapéré	M'Sapere	M'Sapere,Montsapere,Montsapéré,M’Sapéré,Sapere,Sapéré	-12.78619	45.21655	P	PPL	YT		00				0		387	Indian/Mayotte	2016-07-18
921760	M’Samouni	M'Samouni		-12.88333	45.16667	P	PPL	YT		00				0		429	Indian/Mayotte	2014-12-03
