935159	Piton Terre Rouge	Piton Terre Rouge		-20.97583	55.43986	T	PK	RE		RE	974	9741	97411	0		1639	Indian/Reunion	2016-06-22
935160	Bras de Terre Rouge	Bras de Terre Rouge		-20.99272	55.64992	H	STM	RE		00				0		104	Indian/Reunion	2011-04-19
935161	Terre Rouge	Terre Rouge		-21.3453	55.50271	P	PPL	RE		RE	974	9742	97416	0		94	Indian/Reunion	2016-06-22
935162	Terre Plate	Terre Plate		-21.07827	55.51959	L	AREA	RE		00				0		1411	Indian/Reunion	2011-04-19
935163	Terre Carrère	Terre Carrere		-21.07982	55.68591	T	MT	RE		RE	974	9743	97410	0		292	Indian/Reunion	2016-06-22
935164	Pointe Terre	Pointe Terre		-21.16667	55.38333	T	PK	RE		RE	974	9744	97413	0		1942	Indian/Reunion	2016-06-22
935165	Caverne de Terre	Caverne de Terre		-20.98333	55.46667	S	CAVE	RE		RE	974	9741	97411	0		1653	Indian/Reunion	2016-06-22
935166	Terrain Élisa	Terrain Elisa		-20.93505	55.54754	L	AREA	RE		00				0		324	Indian/Reunion	2011-04-19
935167	Piton de Tangues	Piton de Tangues	Piton de Tangues,Piton des Treize Cantons	-21.18664	55.65381	T	PK	RE		RE	974	9743	97406	0		2221	Indian/Reunion	2016-06-22
935168	Piton Tanan	Piton Tanan		-20.97543	55.4991	T	PK	RE		RE	974	9741	97418	0		1323	Indian/Reunion	2016-06-22
935169	Bras Tanan	Bras Tanan		-20.93333	55.48333	H	STM	RE		00				0		323	Indian/Reunion	1993-12-22
935170	Ravine du Tampon	Ravine du Tampon		-21.2659	55.55444	H	STM	RE		00				0		991	Indian/Reunion	2011-04-19
935171	Plaine des Tamarins	Plaine des Tamarins		-21.0793	55.44037	T	PLN	RE		00				0		1757	Indian/Reunion	2011-04-19
935172	Ravine Takamaka	Ravine Takamaka	Ravine Takamaka,Ravine de Takamaka	-21.32041	55.80142	H	STM	RE		00				0		74	Indian/Reunion	2012-01-18
935173	Piton Takamaka	Piton Takamaka	Piton Takamaka,Piton de Takamaka	-21.30767	55.76886	T	PK	RE		RE	974	9742	97417	0		906	Indian/Reunion	2016-06-22
935174	Brûlé de Takamaka	Brule de Takamaka	Brule de Takamaka,Brule de la Table,Brûlé de Takamaka,Brûlé de la Table	-21.32537	55.78302	T	LAVA	RE		00				0		408	Indian/Reunion	2012-01-18
935175	Takamaka	Takamaka		-21.31523	55.80042	P	PPL	RE		RE	974	9742	97417	0		98	Indian/Reunion	2016-06-22
935176	Taïbit	Taibit		-21.11427	55.42811	T	MT	RE		RE	974	9742	97424	0		2063	Indian/Reunion	2016-06-22
935177	Pointe de la Table	Pointe de la Table	Pointe de la Table,Table Point	-21.33141	55.80785	T	PT	RE		RE	974	9742	97417	0		19	Indian/Reunion	2016-06-22
935178	Ravine Tabac	Ravine Tabac		-21.10424	55.26056	H	STM	RE		00				0		76	Indian/Reunion	2011-04-19
935179	Bras Tabac	Bras Tabac		-21.08333	55.61667	H	STM	RE		00				0		1022	Indian/Reunion	1993-12-22
935180	Bras de Sylvert	Bras de Sylvert		-21.21449	55.40693	H	STM	RE		00				0		797	Indian/Reunion	2011-04-19
935181	Surprise	Surprise		-21.1513	55.3021	P	PPL	RE		RE	974	9744	97413	0		483	Indian/Reunion	2016-06-22
935182	Stella Matutina	Stella Matutina	Stella,Stella Matutina	-21.20434	55.29856	P	PPL	RE		RE	974	9744	97413	0		187	Indian/Reunion	2016-06-22
935183	Sous les Bois Noirs	Sous les Bois Noirs		-21.37907	55.6377	P	PPL	RE		RE	974	9742	97412	0		87	Indian/Reunion	2016-06-22
935184	Ravine Souris Chaude	Ravine Souris Chaude		-21.35904	55.66548	H	STM	RE		00				0		283	Indian/Reunion	2011-04-19
935185	Ravine la Sourdine	Ravine la Sourdine		-21.00801	55.70031	H	STM	RE		00				0		5	Indian/Reunion	2011-04-19
935186	Piton des Songes	Piton des Songes		-21.15123	55.60829	T	PK	RE		RE	974	9743	97406	0		1222	Indian/Reunion	2016-06-22
935187	Piton Selez	Piton Selez		-20.9	55.41667	T	PK	RE		RE	974	9741	97411	0		491	Indian/Reunion	2016-06-22
935188	Piton Sec Patates	Piton Sec Patates	Piton Saint Francois,Piton Saint François,Piton Sec Patates	-20.92664	55.44954	T	PK	RE		RE	974	9741	97411	0		725	Indian/Reunion	2016-06-22
